v1 0.549507
v2 0.549144
v3 0.549217
v4 0.548512
v5 0.549330
v6 0.549256
v7 0.549208
v8 0.549438
v9 0.549480
v10 0.537081
v11 0.549486
v12 0.547961
v13 0.549349
v14 0.540977
v15 0.549235
v16 0.549499
v17 0.548860
v18 0.549521
v19 0.549497
v20 0.549301
v21 0.547200
v23 0.549233
v24 0.548641
v25 0.549457
v26 0.549267
v27 0.549289
v28 0.549478
v29 0.549373
v30 0.548444
v31 0.530888
v32 0.549238
v33 0.548936
v34 0.545012
v35 0.549523
v36 0.548989
v37 0.549399
v38 0.545755
v39 0.549376
v40 0.549128
v41 0.549496
v42 0.549525
v43 0.549285
v44 0.548910
v45 0.549294
v46 0.549448
v47 0.535188
v48 0.548658
v49 0.549523
v50 0.514549
v51 0.548847
v52 0.549561
v53 0.549503
v54 0.549468
v55 0.548956
v56 0.520233
v57 0.549315
v58 0.549231
v59 0.549256
v60 0.549223
v61 0.548895
v62 0.536606
v63 0.549445
v64 0.548778
v65 0.549083
v66 0.538075
v67 0.549514
v68 0.549390
v69 0.549484
v70 0.549471
v71 0.549017
v72 0.546589
v73 0.549150
v74 0.549191
v75 0.549675
v76 0.548921
v77 0.549514
v78 0.549507
v79 0.526974
v80 0.549302
v81 0.549184
v82 0.549355
v83 0.548958
v84 0.549083
v85 0.548808
v86 0.549426
v87 0.549186
v88 0.548964
v89 0.549467
v90 0.549487
v91 0.549150
v92 0.549499
v93 0.548753
v94 0.549497
v95 0.549424
v96 0.549371
v97 0.549494
v98 0.549323
v99 0.549214
v100 0.549228
v101 0.548784
v102 0.549524
v103 0.549440
v104 0.549383
v105 0.549471
v106 0.548701
v107 0.549150
v108 0.549153
v109 0.549189
v110 0.535941
v111 0.549062
v112 0.549355
v113 0.534738
v114 0.546866
v115 0.549486
v116 0.549367
v117 0.549419
v118 0.549520
v119 0.548601
v120 0.549525
v121 0.548979
v122 0.549522
v123 0.548686
v124 0.549463
v125 0.548845
v126 0.549525
v127 0.549470
v128 0.549127
v129 0.534890
v130 0.548946
v131 0.549307
